label,modularity_class
FEATURE_SKIP_ROOTFS,175
SETARCH,70
WGET,186
UBIUPDATEVOL,70
FEATURE_FTP_WRITE,196
FEATURE_TAR_OLDSUN_COMPATIBILITY,73
FEATURE_HTTPD_SET_REMOTE_PORT_TO_ENV,63
FEATURE_FANCY_SLEEP,176
FEATURE_HDPARM_GET_IDENTITY,218
TUNCTL,70
PIPE_PROGRESS,177
FEATURE_TOP_CPU_USAGE_PERCENTAGE,68
FEATURE_CP_LONG_OPTIONS,186
FEATURE_LOGREAD_REDUCED_LOCKING,219
FEATURE_TOP_SMP_PROCESS,68
FEATURE_UDHCPC_ARPING,60
BZIP2,178
FEATURE_FANCY_ECHO,217
FEATURE_BEEP_LENGTH_MS,70
FEATURE_SETFILES_CHECK_OPTION,73
FLASHCP,179
PIE,217
EXTRA_LDFLAGS,180
NOHUP,181
FEATURE_UDHCP_8021Q,60
FEATURE_VI_READONLY,168
FEATURE_MAKEDEVS_LEAF,140
PKILL,182
FTPGET,186
REALPATH,183
HEXDUMP,184
FEATURE_VI_SETOPTS,168
FEATURE_INSTALLER,185
INSTALL_SH_APPLET_SYMLINK,147
SUBST_WCHAR,229
LONG_OPTS,186
FEATURE_DD_SIGNAL_HANDLING,98
SHA256SUM,28
FEATURE_LESS_DASHCMD,46
FEATURE_LS_FILETYPES,38
WHICH,187
FEATURE_FIND_MAXDEPTH,161
MOUNTPOINT,188
USE_BB_CRYPT_SHA,189
FEATURE_SETCONSOLE_LONG_OPTIONS,186
UNICODE_BIDI_SUPPORT,229
EXTRA_LDLIBS,190
RPM,191
FEATURE_VOLUMEID_BTRFS,37
OD,192
CHVT,70
SETSID,193
FEATURE_VOLUMEID_HFS,37
PSCAN,194
UNICODE_WIDE_WCHARS,229
DIRNAME,195
FEATURE_RUNCON_LONG_OPTIONS,73
FEATURE_LSMOD_PRETTY_2_6_OUTPUT,70
FTPD,196
SMEMCAP,197
FEATURE_TELNETD_INETD_WAIT,12
FEATURE_HDPARM_HDIO_TRISTATE_HWIF,218
SHUF,198
SLATTACH,70
FEATURE_OSF_LABEL,118
FEATURE_LS_COLOR,38
FEATURE_GREP_FGREP_ALIAS,141
FIND,161
HD,184
FEATURE_PRESERVE_HARDLINKS,186
FDFORMAT,70
LSMOD,70
FEATURE_MIME_CHARSET,20
FEATURE_INIT_SYSLOG,117
FEATURE_MOUNT_HELPERS,1
FINDFS,37
LAST_SUPPORTED_WCHAR,229
FEATURE_HTTPD_ENCODE_URL_STR,63
FEATURE_SU_SYSLOG,12
UBIATTACH,70
FEATURE_TFTP_PUT,74
FEATURE_ALLOW_EXEC,168
IPRULE,138
FEATURE_CHECK_TAINTED_MODULE,70
FEATURE_EDITING_SAVEHISTORY,13
FEATURE_IPC_SYSLOG,219
FEATURE_IP_RULE,138
ASH_HELP,217
MKFIFO,199
ASH,217
MKDIR,186
USE_PORTABLE_CODE,200
FEATURE_RUN_PARTS_FANCY,186
FEATURE_TAR_CREATE,73
FEATURE_SGI_LABEL,118
I2CDETECT,70
MDEV,120
FEATURE_BOOTCHARTD_CONFIG_FILE,129
FEATURE_MV_LONG_OPTIONS,186
HUSH_BRACE_EXPANSION,217
ASH_BUILTIN_TEST,217
LZMA,5
FEATURE_FIND_MTIME,161
ENVUIDGID,201
SHOW_USAGE,202
FEATURE_FBSET_FANCY,70
SELINUX,73
SVLOGD,203
FEATURE_LOADFONT_RAW,164
FEATURE_SUID_CONFIG,204
PRINTENV,205
INSTALL_APPLET_HARDLINKS,147
FEATURE_SH_EXTRA_QUIET,217
FEATURE_CHECK_UNICODE_IN_ENV,229
FEATURE_WGET_SSL_HELPER,186
FEATURE_EXTRA_QUIET,117
PASSWD,12
FEATURE_IP_ROUTE,138
SUM,206
FEATURE_DEVPTS,207
FEATURE_TRACEROUTE_VERBOSE,26
FEATURE_UPTIME_UTMP_SUPPORT,66
UDPSVD,208
FEATURE_VI_UNDO_QUEUE_MAX,168
FEATURE_HTTPD_AUTH_MD5,63
FEATURE_VOLUMEID_SYSV,37
KILLALL,92
FEATURE_UMOUNT_ALL,1
FEATURE_COMPRESS_BBCONFIG,209
ZCIP,12
ASH_EXPAND_PRMT,217
BLKID,37
IFUPDOWN,26
FEATURE_FIND_TYPE,161
NC,210
FEATURE_INSMOD_TRY_MMAP,70
TEE,211
SETUIDGID,212
FEATURE_EDITING_HISTORY,13
FEATURE_SPLIT_FANCY,213
FEATURE_KILL_DELAY,117
SH_MATH_SUPPORT_64,217
TOUCH,214
FEATURE_LS_TIMESTAMPS,38
FEATURE_TRACEROUTE_USE_ICMP,26
DEFAULT_SETFONT_DIR,164
FEATURE_KMSG_SYSLOG,219
CUT,215
